client_canonical,client_raw,competitor_canonical,competitor_raw,lob_segment,ftes_or_revenue_freetext,competitor_segment_supported,research_notes,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Allstate,Allstate,Captive,Captive,P&C,5000 FTEs (India) & 150-200 FTEs (Mexico),,,F4,P&C Clientwise,3,2024-06-01,2024-06-01,2026-05-27
Allstate,Allstate,WNS,WNS,P&C,300-500 FTEs,,,F4,P&C Clientwise,4,2024-06-01,2024-06-01,2026-05-27
Allstate,Allstate,Accenture,Accenture,P&C,300-500 FTEs,,,F4,P&C Clientwise,5,2024-06-01,2024-06-01,2026-05-27
Allstate,Allstate,Foundever,foundever,P&C,300 FTEs,,,F4,P&C Clientwise,6,2024-06-01,2024-06-01,2026-05-27
Allstate,Allstate,Qualfon,Qualfon,P&C,Unknown,,,F4,P&C Clientwise,7,2024-06-01,2024-06-01,2026-05-27
Allstate,Allstate,EY,EY,P&C,Unknown,,,F4,P&C Clientwise,8,2024-06-01,2024-06-01,2026-05-27
Allstate,Allstate,Infosys,Infosys,P&C,,Technology Contractors,,F4,P&C Clientwise,9,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,ResourcePro,ResourcePro,P&C,$2.5-3M,,,F4,P&C Clientwise,10,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,Accenture,Accenture,P&C,$4-5M,,"Product & Pricing - ML-driven forecasting models for pricing and risk
Underwriting - Accelerated ML models, analytics foundation, AI-enabled decisions
Policy Administration - Automation and improved workflows
Claims - Faster insights for claims assessment & decision support
Risk Management - Stronger data infrastructure and advanced predictive analytics
Enterprise Operations / IT - Modern cloud-enabled architecture and automation",F4,P&C Clientwise,11,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,Quantiphi,quantiphi,P&C,$2-3M,,,F4,P&C Clientwise,12,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,Atos,Atos,P&C,Unknown,,"Product & Pricing - Indirectly enabled through modernized IT and analytics-ready cloud infrastructure
Distribution (Agents/Brokers) - Digital workplace, cloud-first systems improving broker & agent user experience
Underwriting - Hybrid cloud modernization improves availability of data & systems underwriting relies on
Policy Administration - Mainframe modernization & legacy app migration streamline core systems
Claims - Digital workplace & cloud agility enhance claims processing responsiveness
Customer Service - Cloud-enabled infrastructure and new digital services improve insured interactions
Enterprise Operations / IT - Full IT infrastructure management, cloud migration, modernization model",F4,P&C Clientwise,13,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,Google,Google,P&C,Unknown,,,F4,P&C Clientwise,14,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,Workday,Workday,P&C,Unknown,,"Financial Management & Reporting (Core to Policy, Claims, and Underwriting Operations)
Operational Efficiency & IT Modernization (Supporting all value‑chain stages)
Accounting Automation (Supports Policy, Claims & Reinsurance Accounting)
Planning, Forecasting & Financial Modeling (Enterprise‑level P&C planning)
Supplier Management & Procurement (Supports claims vendors, IT suppliers, third‑party administrators)
Enterprise‑Wide Cloud Transformation & Integration",F4,P&C Clientwise,15,2024-06-01,2024-06-01,2026-05-27
CNA,C NA,Microsoft,Microsoft,P&C,Unknown,,,F4,P&C Clientwise,16,2024-06-01,2024-06-01,2026-05-27
Nationwide,Nationwide,Cognizant,Cognizant,P&C,,UW support & service,"Product & Pricing - No publicly documented involvement
Distribution / Sales - Indirect support via streamlined ops
Underwriting - No direct underwriting functions reported
Policy Administration - Back-office processing, documentation handling
Claims (Support Functions) - Administrative support that enhances claims workflow efficiency
Billing & Payments - Supported through general back-office BPO functions
Customer Service - Indirect—improved internal efficiency frees staff capacity
Enterprise Operations / IT - Major outsourcing of operational processes to enhance efficiency",F4,P&C Clientwise,17,2024-06-01,2024-06-01,2026-05-27
Nationwide,Nationwide,McKinsey,McKinsey,P&C,,Consulting on Claims Field Service Model,,F4,P&C Clientwise,18,2024-06-01,2024-06-01,2026-05-27
Nationwide,Nationwide,Accenture,Accenture,P&C,,Consulting,,F4,P&C Clientwise,19,2024-06-01,2024-06-01,2026-05-27
Nationwide,Nationwide,EY,EY,P&C,,Consulting,,F4,P&C Clientwise,20,2024-06-01,2024-06-01,2026-05-27
Zurich,Zurich NA,Genpact,Genpact,P&C,,"Claims, Finance, Global procurement support​","Product Development - Data-driven insights, actuarial analytics
Marketing & Distribution - Sales enablement operations, broker/MGA support [genpact.com]
Underwriting - AI‑enhanced underwriting ops, submission triage, risk scoring
Policy Administration - Issuance, endorsements, renewals, servicing optimization
Claims Management - FNOL, claims data processing, subrogation & fraud analytics [genpact.com]
Reinsurance - Claims recovery optimization, data management
Procurement - Global Source‑to‑Pay transformation (direct Zurich engagement)
Finance - F&A managed services, premium & claims accounting support
Risk & Compliance - Regulatory support, fraud & risk analytics
Tech Modernization - Cloud, Salesforce, AWS, AI/ML engineering",F4,P&C Clientwise,21,2024-06-01,2024-06-01,2026-05-27
Zurich,Zurich NA,Capgemini,Capgemini,P&C,,Technology & IT partner​,,F4,P&C Clientwise,22,2024-06-01,2024-06-01,2026-05-27
Zurich,Zurich NA,Mphasis,Mphasis,P&C,~70FTEs in Pune – wallet spend around $1M,Underwriting support partner​,"Distribution/CX - Front2Back™ digital journeys; broker/agent portals; middleware
Underwriting - Data ingestion, triage, AI risk scoring; Mphasis–Sixfold AI UW acceleration
Policy admin - Wynsure PAS (quote‑bind‑endorse‑renew); core modernization & AMS
Claims - FNOL, cognitive document processing (DeepInsights™), severity/subro analytics, STP
Reinsurance/Specialty - Bordereaux & treaty ops; Lloyd’s/specialty managed services
Data & AI - DeepInsights™ for unstructured data; reusable features for UW/claims
Cloud & Integration - Core/platform integration, API enablement, cloud migration; onshore locations",F4,P&C Clientwise,23,2024-06-01,2024-06-01,2026-05-27
Zurich,Zurich NA,Cognizant,Cognizant,P&C,,Technology partner,,F4,P&C Clientwise,24,2024-06-01,2024-06-01,2026-05-27
Hanover Insurance Group,Hanover,NTT Data,NTT Data,P&C,$24M,,,F4,P&C Clientwise,25,2024-06-01,2024-06-01,2026-05-27
Hanover Insurance Group,Hanover,Capgemini,Capgemini,P&C,$8M,,,F4,P&C Clientwise,26,2024-06-01,2024-06-01,2026-05-27
Hanover Insurance Group,Hanover,Vertafore,Vertafore,P&C,$6M,,"Commercial lines digital quoting and submission connectivity through Commercial Submissions
Enterprise‑grade licensing, compliance, and adjuster‑management services through Sircon",F4,P&C Clientwise,27,2024-06-01,2024-06-01,2026-05-27
Hanover Insurance Group,Hanover,EY,EY,P&C,$1.5-2.5M (variable),,,F4,P&C Clientwise,28,2024-06-01,2024-06-01,2026-05-27
Hanover Insurance Group,Hanover,TCS,TCS,P&C,$1.2M (variable),,,F4,P&C Clientwise,29,2024-06-01,2024-06-01,2026-05-27
Hanover Insurance Group,Hanover,Ivans,Ivans,P&C,$800K,,"Commercial lines submission & distribution automation
Digital Connectivity Across the Policy Lifecycle (Marketing → Quoting → Servicing → Renewals)
Policy, Claims, Billing & Commission Data Connectivity (Ivans Network)",F4,P&C Clientwise,30,2024-06-01,2024-06-01,2026-05-27
Hanover Insurance Group,Hanover,Xceedance,Xceedance,P&C,$100-500K (variable),,,F4,P&C Clientwise,31,2024-06-01,2024-06-01,2026-05-27
Hartford,Hartford,Cognizant,Cognizant,P&C,$10M-$15M (~500 FTEs),,,F4,P&C Clientwise,32,2024-06-01,2024-06-01,2026-05-27
Hartford,Hartford,Tiger Analytics,Tiger Analytics,P&C,~150 FTEs,,,F4,P&C Clientwise,33,2024-06-01,2024-06-01,2026-05-27
Liberty Mutual,Liberty Mutual,Genpact,Genpact,P&C,$35M - $40M,"Tech Ops, Digital Ops,_x000B_Analytics, AI, Data Mgmt.","Rapid cloud migration of policy, pricing, and underwriting applications
Retired legacy data centers and improved scalability
Enhanced quote processing and speed‑to‑market
Modernized underwriting support applications
Improved underwriting accuracy with better system reliability
Application modernization driving smoother policy lifecycle management
Simplified IT architecture for improved performance
Modernization of claims processing applications & faster processing time
Cloud‑based analytics for underwriting, claims, and financial modeling
Building internal cloud expertise",F4,P&C Clientwise,34,2024-06-01,2024-06-01,2026-05-27
Liberty Mutual,Liberty Mutual,TCS,TCS,P&C,$40M - $45M,"Tech Ops, Digital Ops, HRO, _x000B_Analytics, AI, Data Mgmt.","Enterprise-wide digital transformation services across the P&C value chain
Digital-first tools to elevate distribution and sales experiences
AI‑driven RiskTech and underwriting acceleration
Modernizes policy systems, reduces technical debt, and increases agility
End‑to‑end P&C claims management solutions
Enterprise-grade AI, ML, and data‑engineering support",F4,P&C Clientwise,35,2024-06-01,2024-06-01,2026-05-27
Liberty Mutual,Liberty Mutual,Cognizant,Cognizant,P&C,$65M -$70M,"Tech Ops, Domain Ops AI, Analytics, Data Mgmt., Clinical Services, Utilization Mgmt.","Modernizing policy, pricing, and underwriting systems
Cloud migration of core insurance apps
Faster quoting through backend modernization
Enhanced availability for distribution systems
Enhanced underwriting workflows and risk evaluation
Modernization of core policy systems
Simplified architecture & better user experience
Claims platform modernization
Cloud-native architecture improves claims speed
Internal cloud training for Liberty Mutual teams
Retired multiple legacy data centers and reduced operating costs",F4,P&C Clientwise,36,2024-06-01,2024-06-01,2026-05-27
Liberty Mutual,Liberty Mutual,Teleperformance,Teleperformance,P&C,$15M - $20M,Contact Centers & Voice Ops,"Customer Service & Policyholder Support (Documented Interaction)
Claims‑Related Customer Support (Sector Capability & LM Interaction)
Omnichannel CX & Contact Center Operations",F4,P&C Clientwise,37,2024-06-01,2024-06-01,2026-05-27
MAPFRE,MAPFRE,Cognizant,Cognizant,P&C,$3M,,,F4,P&C Clientwise,38,2024-06-01,2024-06-01,2026-05-27
MAPFRE,MAPFRE,Indra,indra,P&C,$2.5M,,,F4,P&C Clientwise,39,2024-06-01,2024-06-01,2026-05-27
MAPFRE,MAPFRE,CGI,CGI,P&C,$2M,,"Legacy system modernization & platform engineering
Digital‑ready product architecture
Modern policy and quoting systems
Technology modernization for underwriting
Policy Admin - Full core system replacement (Guidewire + Duck Creek)
Improved claims systems performance
Cloud migration of commercial lines (Phase 2)
IT & Application Managed Services (Long-Term Partnership)",F4,P&C Clientwise,40,2024-06-01,2024-06-01,2026-05-27
MAPFRE,MAPFRE,Interactions,interactions,P&C,$0.75M,,,F4,P&C Clientwise,41,2024-06-01,2024-06-01,2026-05-27
MAPFRE,MAPFRE,LYNX,LYNX,P&C,$0.75M,,"Third‑party claims management provider - FNOL, 24/7 Claim Intake, Clain triage & routing
Auto Glass Network Management (MAPFRE’s Preferred Glass Network)
Auto Glass Claims Processing & Billing
Customer Experience Support (Call Center Services)",F4,P&C Clientwise,42,2024-06-01,2024-06-01,2026-05-27
Assurant,Assurant,TCS,TCS,P&C,,,"Policy Administration & Back‑Office Processing (Direct Evidence)
Billing, Payments, Collections & Financial Operations (Direct Evidence)",F4,P&C Clientwise,43,2024-06-01,2024-06-01,2026-05-27
Assurant,Assurant,Capgemini,Capgemini,P&C,,,,F4,P&C Clientwise,44,2024-06-01,2024-06-01,2026-05-27
Assurant,Assurant,Assurant GCC,Assurant GCC,P&C,,,,F4,P&C Clientwise,45,2024-06-01,2024-06-01,2026-05-27
Everest,Everest,Infosys,Infosys,P&C,$6M,,,F4,P&C Clientwise,46,2024-06-01,2024-06-01,2026-05-27
Everest,Everest,Deloitte,Deloitte,P&C,$2.5M,,,F4,P&C Clientwise,47,2024-06-01,2024-06-01,2026-05-27
Everest,Everest,EY,EY,P&C,$2.5M,,Insurance IT Services PEAK Matrix® assessments,F4,P&C Clientwise,48,2024-06-01,2024-06-01,2026-05-27
Everest,Everest,Vertafore,Vertafore,P&C,$1.2M,,,F4,P&C Clientwise,49,2024-06-01,2024-06-01,2026-05-27
American Modern,American Modern,TCS,TCS,P&C,,Supports other Munich Re entities,,F4,P&C Clientwise,50,2024-06-01,2024-06-01,2026-05-27
American Modern,American Modern,WNS,WNS,P&C,,"WNS F&A , IT,UW services supports other Munich Re entities",,F4,P&C Clientwise,51,2024-06-01,2024-06-01,2026-05-27
American Modern,American Modern,Cognizant,Cognizant,P&C,,Supports other Munich Re entities,,F4,P&C Clientwise,52,2024-06-01,2024-06-01,2026-05-27
Kemper,Kemper,Accenture,Accenture,P&C,80-90 FTEs,F&A Ops,"Claims Intake & Processing, Claims Adjudication, Claims Payment & Leakage Control, Claims Technology Modernization",F4,P&C Clientwise,53,2024-06-01,2024-06-01,2026-05-27
Kemper,Kemper,Capgemini,Capgemini,P&C,Unknown,Tech & Consulting,"Claims Management Transformation (via Guidewire Claim Center)
Policy Administration & Customer Experience Transformation
IT Consulting & Application Development Support Within the Kemper Ecosystem",F4,P&C Clientwise,54,2024-06-01,2024-06-01,2026-05-27
Prudential,Prudential,Cognizant,Cognizant,L&A,$20-$30M,"Tech, Consulting",,F4,L&A Clientwise,3,2024-06-01,2024-06-01,2026-05-27
Prudential,Prudential,Accenture,Accenture,L&A,$30-40M,"Ops, Tech, Consulting",Administrative Services (TPA Services) for Group Insurance Plans,F4,L&A Clientwise,4,2024-06-01,2024-06-01,2026-05-27
Prudential,Prudential,DXC Technology,DXC Technology,L&A,$15-18M,"Tech, Consulting",,F4,L&A Clientwise,5,2024-06-01,2024-06-01,2026-05-27
Prudential,Prudential,SE2,SE2,L&A,$15-18M,"Tech, Consulting",SE2 served as a Third‑Party Administrator (TPA) ,F4,L&A Clientwise,6,2024-06-01,2024-06-01,2026-05-27
Prudential,Prudential,Capgemini,Capgemini,L&A,$15-18M,"Tech, Consulting",,F4,L&A Clientwise,7,2024-06-01,2024-06-01,2026-05-27
Prudential,Prudential,TCS,TCS,L&A,$15-$20M,"Tech, Consulting","Substantial technology, digital, and business operations services through the acquisition and integration of Pramerica Systems Ireland.
This engagement supports multiple insurance value‑chain functions, notably policy administration, claims support, customer service operations, and enterprise digital transformation.",F4,L&A Clientwise,8,2024-06-01,2024-06-01,2026-05-27
Prudential,Prudential,EY,EY,L&A,$40M,"Tech, Consulting",,F4,L&A Clientwise,9,2024-06-01,2024-06-01,2026-05-27
Unum,Unum,Sutherland,Sutherland,L&A,$6.4M,Digital Ops,,F4,L&A Clientwise,10,2024-06-01,2024-06-01,2026-05-27
Unum,Unum,Wipro,Wipro,L&A,$50M,IT Data & Analytics,,F4,L&A Clientwise,11,2024-06-01,2024-06-01,2026-05-27
Unum,Unum,TCS,TCS,L&A,,,,F4,L&A Clientwise,12,2024-06-01,2024-06-01,2026-05-27
Unum,Unum,Cognizant,Cognizant,L&A,,,,F4,L&A Clientwise,13,2024-06-01,2024-06-01,2026-05-27
Unum,Unum,Workday,Workday,L&A,$6.4M,Digital Solution on HR side,"Benefits administration, leave & absence management, employee data integration, eligibility automation, evidence of insurability, billing, time tracking, and overall HR/benefits digital transformation.",F4,L&A Clientwise,14,2024-06-01,2024-06-01,2026-05-27
Unum,Unum,ADP,ADP,L&A,,,"Product Distribution & Enrollment Services
Eligibility & Policy Administration
Underwriting Support: Embedded Evidence of Insurability (EOI)
Billing & Premium Management
Claims & Absence Management (Disability & Leave)
Customer Experience & Self‑Service Improvements
Data Exchange & Operational Efficiency",F4,L&A Clientwise,15,2024-06-01,2024-06-01,2026-05-27
Unum,Unum,UKG,UKG,L&A,,,"API‑based partnership through Unum HR Connect for UKG Pro and UKG Pro Workforce Management (WFM).
Integrations automate and enhance benefits administration, leave & absence management, eligibility syncing, underwriting/EOI workflows, and payroll‑related policy servicing.",F4,L&A Clientwise,16,2024-06-01,2024-06-01,2026-05-27
Transamerica,Transamerica,DXC Technology,DXC Technology,L&A,$18-20M,Annuities policy holder services along with platforms such as NBA and Vantage,"Core Platform Technology - Licensing of CyberLife & Vantage‑One
Policy Administration Support - End‑to‑end policy lifecycle capabilities embedded in CyberLife/Vantage
Operations & Maintenance - System support, updates, and ongoing access
Data & Workflow Infrastructure - Platforms underlying later outsourcing/admin transitions",F4,L&A Clientwise,17,2024-06-01,2024-06-01,2026-05-27
Transamerica,Transamerica,Congruent,Congruent,L&A,,Complex Retirement work under admin services,,F4,L&A Clientwise,18,2024-06-01,2024-06-01,2026-05-27
Lincoln Financial,Lincoln,Sutherland,Sutherland,L&A,$3M,"BPO, Tech, Consulting",,F4,L&A Clientwise,19,2024-06-01,2024-06-01,2026-05-27
Lincoln Financial,Lincoln,Genpact,Genpact,L&A,,"BPO, Tech, Consulting",,F4,L&A Clientwise,20,2024-06-01,2024-06-01,2026-05-27
Lincoln Financial,Lincoln,DXC Technology,DXC Technology,L&A,,"Tech, Consulting","Cloud migration (DXC Assure Cloud)
Legacy modernization of core policy admin systems
Transformation of underwriting, policy, billing, and claims ecosystems
Operational efficiencies and future‑fit digital capabilities",F4,L&A Clientwise,21,2024-06-01,2024-06-01,2026-05-27
Aflac,Aflac,EY,EY,L&A,,Consulting,,F4,L&A Clientwise,22,2024-06-01,2024-06-01,2026-05-27
Aflac,Aflac,Coforge,Coforge,L&A,,Ops,"Customer Service - AI‑driven email automation, classification, sentiment analysis, agent augmentation
Claims (Pre‑Claims & Inquiry Mgmt.) - Automated handling of claims‑related emails, routing, faster resolution cycles
Distribution / Agent Support - Faster inquiry resolution improves agent experience and responsiveness
Enterprise IT & Digital Transformation - Strategic partner to Aflac in its “One Digital Aflac” vision through Pega‑based transformation
Technology & Ecosystem Enablement - Active technology partnership supporting automation and digital operations",F4,L&A Clientwise,23,2024-06-01,2024-06-01,2026-05-27
Aflac,Aflac,Capgemini,Capgemini,L&A,,"Ops, Consulting",,F4,L&A Clientwise,24,2024-06-01,2024-06-01,2026-05-27
Aflac,Aflac,Cognizant,Cognizant,L&A,,IT,"Product Development - Configurable EIS PAS for rapid product launch
Marketing & Distribution - Custom digital sales portal
Underwriting - Streamlined D2C underwriting flows via PAS
Policy Administration - Core administration using EIS; workflow automation
Customer Service - Self‑service member portal
Claims - Platform supports claims intake + 6K processed
IT & Cloud Foundation - AWS modernization, container migration, serverless",F4,L&A Clientwise,25,2024-06-01,2024-06-01,2026-05-27
Primerica,Primerica,IBM,IBM,L&A,,Data Management,"Product Development - Faster software iterations, cloud‑based development
Distribution / Sales - Modernized sales representative portal
Underwriting Support - Better data access + updated systems via hybrid cloud
Policy Administration - WebSphere migration, modernization of servicing applications
Customer Service - Rapid updates to customer portal, improved experience
Claims & Servicing - Faster enhancement cycles for digital servicing tools
IT, Data & Security - Hybrid cloud, containers, microservices, private cloud security",F4,L&A Clientwise,26,2024-06-01,2024-06-01,2026-05-27
Trustage,Trustage,Zinnia,Zinnia,L&A,,"Tech, Consulting",,F4,L&A Clientwise,27,2024-06-01,2024-06-01,2026-05-27
Trustage,Trustage,DXC Technology,DXC Technology,L&A,,"Ops, Tech, Consulting",,F4,L&A Clientwise,28,2024-06-01,2024-06-01,2026-05-27
Trustage,Trustage,PwC,PwC,L&A,,"Tech, Consulting",,F4,L&A Clientwise,29,2024-06-01,2024-06-01,2026-05-27
Trustage,Trustage,Cognizant,Cognizant,L&A,,"Tech, Consulting",,F4,L&A Clientwise,30,2024-06-01,2024-06-01,2026-05-27
Trustage,Trustage,Deloitte,Deloitte,L&A,,"Tech, Consulting",,F4,L&A Clientwise,31,2024-06-01,2024-06-01,2026-05-27
Trustage,Trustage,Verisk,Verisk,L&A,$6.5M,"Tech, Consulting","Product Development - Rapid RILA product launch; agile product updates
New Business / Issuance - Faster time‑to‑market, streamlined rollout
Policy Administration - Core admin for annuity operations; supports existing products
Operations - Efficiency gains, integration improvements
Compliance & Regulatory Response - Adapts product frameworks to regulatory changes
Analytics / Actuarial / Fraud Detection - Advanced analytics, ML and actuarial modeling support",F4,L&A Clientwise,32,2024-06-01,2024-06-01,2026-05-27
Trustage,Trustage,EY,EY,L&A,,"Tech, Consulting",,F4,L&A Clientwise,33,2024-06-01,2024-06-01,2026-05-27
Trustage,Trustage,Verint,Verint,L&A,,"Ops, Tech, Consulting",,F4,L&A Clientwise,34,2024-06-01,2024-06-01,2026-05-27
Trustage,Trustage,Foundever,Sitel,L&A,,,,F4,L&A Clientwise,35,2024-06-01,2024-06-01,2026-05-27
Pacific Life,Pacific Life,Genpact,Genpact,L&A,,"Ops, Tech, Consulting","Product Launch & New Business - New business data entry, onboarding, record keeping
Distribution Management - Commission balancing, producer records
Premium Billing & Finance Ops - Premium handling & reconciliation
Policy Servicing - Mailroom, document management, workflow automation
Operations Transformation - Lean DigitalSM, dynamic workflows, automation
TPA Support - Multi‑function operational outsourcing",F4,L&A Clientwise,36,2024-06-01,2024-06-01,2026-05-27
Prosperity Life,Prosperity,Mphasis,Mphasis,L&A,,Consulting,,F4,L&A Clientwise,37,2024-06-01,2024-06-01,2026-05-27
Prosperity Life,Prosperity,DXC Technology,DXC Technology,L&A,,"Tech, Consulting",,F4,L&A Clientwise,38,2024-06-01,2024-06-01,2026-05-27
Prosperity Life,Prosperity,Zinnia,Zinnia,L&A,,Tech,,F4,L&A Clientwise,39,2024-06-01,2024-06-01,2026-05-27
Prosperity Life,Prosperity,Cognizant,Cognizant,L&A,,Tech,,F4,L&A Clientwise,40,2024-06-01,2024-06-01,2026-05-27
Global Atlantic,Global Atlantic,Zinnia,Zinnia,L&A,,"Tech, Consulting","Third‑party administration (TPA)
Core policy administration
Digital portals for policyholders
Billing & payments
Lifecycle/claims processing
Data & AI collaboration",F4,L&A Clientwise,41,2024-06-01,2024-06-01,2026-05-27
Global Atlantic,Global Atlantic,DXC Technology,DXC Technology,L&A,,"Ops, Tech, Consulting",,F4,L&A Clientwise,42,2024-06-01,2024-06-01,2026-05-27
Global Atlantic,Global Atlantic,PwC,PwC,L&A,,"Tech, Consulting",,F4,L&A Clientwise,43,2024-06-01,2024-06-01,2026-05-27
Global Atlantic,Global Atlantic,Five9,Five9,L&A,,"Tech, Consulting",,F4,L&A Clientwise,44,2024-06-01,2024-06-01,2026-05-27
Global Atlantic,Global Atlantic,Verisk,Verisk,L&A,,"Tech, Consulting",,F4,L&A Clientwise,45,2024-06-01,2024-06-01,2026-05-27
Global Atlantic,Global Atlantic,EY,EY,L&A,,"Ops, Tech, Consulting",,F4,L&A Clientwise,46,2024-06-01,2024-06-01,2026-05-27
Global Atlantic,Global Atlantic,Verint,Verint,L&A,,"Ops, Tech, Consulting",,F4,L&A Clientwise,47,2024-06-01,2024-06-01,2026-05-27
Global Atlantic,Global Atlantic,Mendix,mendix,L&A,,"Ops, Tech, Consulting",,F4,L&A Clientwise,48,2024-06-01,2024-06-01,2026-05-27
Fortitude Re,Fortitude Re,KPMG,KPMG,L&A,$6.5M,Finance Ops,,F4,L&A Clientwise,49,2024-06-01,2024-06-01,2026-05-27
Fortitude Re,Fortitude Re,IBM,IBM,L&A,,TPA,"Life & Annuity Third‑Party Administration (TPA)
Policy Administration System Modernization
Customer Service Operations Transformation
AI‑Driven Automation
Hybrid Cloud & Mainframe‑as‑a‑Service Solutions
Operational Optimization & Analytics Modernization",F4,L&A Clientwise,50,2024-06-01,2024-06-01,2026-05-27
Fortitude Re,Fortitude Re,EY,EY,L&A,,Consulting – Strategic Initiatives,,F4,L&A Clientwise,51,2024-06-01,2024-06-01,2026-05-27
Fortitude Re,Fortitude Re,Oliver Wyman,OliverWyman,L&A,,Actuarial,,F4,L&A Clientwise,52,2024-06-01,2024-06-01,2026-05-27
NYL,NYL,Deloitte,Deloitte,L&A,$80M,"Tech, Consulting","TBM & Bill of IT - Helped NYL stand up and mature a Bill of IT to illuminate tech value, consumption, and cost transparency; supported finance–tech collaboration and better investment decision",F4,L&A Clientwise,53,2024-06-01,2024-06-01,2026-05-27
NYL,NYL,TCS,TCS,L&A,$60M,"Ops, Tech, Consulting",,F4,L&A Clientwise,54,2024-06-01,2024-06-01,2026-05-27
NYL,NYL,Accenture,Accenture,L&A,$50M,"Tech, Consulting",,F4,L&A Clientwise,55,2024-06-01,2024-06-01,2026-05-27
NYL,NYL,Cognizant,Cognizant,L&A,$12M,"Tech, Consulting",,F4,L&A Clientwise,56,2024-06-01,2024-06-01,2026-05-27
NYL,NYL,Virtusa,virtusa,L&A,$7M,"Tech, Consulting",NYL partnered with Virtusa to transform the life insurance claims experience using Pega Customer Service.,F4,L&A Clientwise,57,2024-06-01,2024-06-01,2026-05-27
Equitable,Equitable,WNS,WNS,L&A,$15-$20M,"Ops, Tech, Consulting",,F4,L&A Clientwise,58,2024-06-01,2024-06-01,2026-05-27
Equitable,Equitable,TCS,TCS,L&A,,"Ops, Tech, Consulting",,F4,L&A Clientwise,59,2024-06-01,2024-06-01,2026-05-27
Equitable,Equitable,Capgemini,Capgemini,L&A,$1-3M,"Ops, Tech, Consulting",,F4,L&A Clientwise,60,2024-06-01,2024-06-01,2026-05-27
Equitable,Equitable,USHUR,USHUR,L&A,$1-3M,"Ops, Tech, Consulting","New Business Intake Automation
Underwriting Data Preparation
Group Benefits RFP & Quote Automation
AI-based Census & Document Extraction
Automated Broker Communications
Operational Scaling & Efficiency Gains",F4,L&A Clientwise,61,2024-06-01,2024-06-01,2026-05-27
