function_capability,provider,exl_assessment_2020,source_file,source_sheet,source_row,file_vintage,captured_date,ingestion_date
Advanced Analytics,BlockClaim (Sprout.ai),Low,F1,Partnerships and Alliances,7,2020-08-03,2020-08-03,2026-05-27
Advanced Analytics,Cape Analytic,Low,F1,Partnerships and Alliances,8,2020-08-03,2020-08-03,2026-05-27
Advanced Analytics,Clara,Medium,F1,Partnerships and Alliances,9,2020-08-03,2020-08-03,2026-05-27
Advanced Analytics,concirrus,Medium,F1,Partnerships and Alliances,10,2020-08-03,2020-08-03,2026-05-27
Advanced Analytics,Gradient,High,F1,Partnerships and Alliances,11,2020-08-03,2020-08-03,2026-05-27
Advanced Analytics,Shift Technology,High,F1,Partnerships and Alliances,12,2020-08-03,2020-08-03,2026-05-27
Big Data,otonomo,Low,F1,Partnerships and Alliances,13,2020-08-03,2020-08-03,2026-05-27
Big Data,Quantemplate,High,F1,Partnerships and Alliances,14,2020-08-03,2020-08-03,2026-05-27
Big Data,Zesty AI,Medium,F1,Partnerships and Alliances,15,2020-08-03,2020-08-03,2026-05-27
Claim Processing,Crawford/ Broadspire,Low,F1,Partnerships and Alliances,16,2020-08-03,2020-08-03,2026-05-27
Claim Processing,ESIS,Low,F1,Partnerships and Alliances,17,2020-08-03,2020-08-03,2026-05-27
Claim Processing,"Gallagher Bassett

(Everest Group (Skand) published a 2020 State of the TPA industry report.  Must be purchased to review. ($5000) )",High,F1,Partnerships and Alliances,18,2020-08-03,2020-08-03,2026-05-27
Claim Processing,Sedgewick,High,F1,Partnerships and Alliances,19,2020-08-03,2020-08-03,2026-05-27
Contact Center,Actec,Medium,F1,Partnerships and Alliances,20,2020-08-03,2020-08-03,2026-05-27
Contact Center,AnsaFone,Low,F1,Partnerships and Alliances,21,2020-08-03,2020-08-03,2026-05-27
Content Extraction,Chisel.ai,High,F1,Partnerships and Alliances,22,2020-08-03,2020-08-03,2026-05-27
Content Extraction,"DataCubes
(Now Convr)",Low,F1,Partnerships and Alliances,23,2020-08-03,2020-08-03,2026-05-27
Content Extraction,Groundspeed,High,F1,Partnerships and Alliances,24,2020-08-03,2020-08-03,2026-05-27
Content Extraction,Hyperscience,Medium,F1,Partnerships and Alliances,25,2020-08-03,2020-08-03,2026-05-27
Content Extraction,KORE,High,F1,Partnerships and Alliances,26,2020-08-03,2020-08-03,2026-05-27
Content Extraction,omni:us,Medium,F1,Partnerships and Alliances,27,2020-08-03,2020-08-03,2026-05-27
Content Extraction,Sumyag Data Sciences,Medium,F1,Partnerships and Alliances,28,2020-08-03,2020-08-03,2026-05-27
Digital Exchange,Bold Penguin,Medium,F1,Partnerships and Alliances,29,2020-08-03,2020-08-03,2026-05-27
Digital Exchange,"Goji
(UK Company)",Low,F1,Partnerships and Alliances,30,2020-08-03,2020-08-03,2026-05-27
Digital Exchange,"handdii
(Australian Company)",Low,F1,Partnerships and Alliances,31,2020-08-03,2020-08-03,2026-05-27
Digital Exchange,IVANS Insurance Solutions,Low,F1,Partnerships and Alliances,32,2020-08-03,2020-08-03,2026-05-27
Digital Exchange,Westhill,Low,F1,Partnerships and Alliances,33,2020-08-03,2020-08-03,2026-05-27
Digital Insurer,acko (India),Low,F1,Partnerships and Alliances,34,2020-08-03,2020-08-03,2026-05-27
Digital Insurer,Cake,Low,F1,Partnerships and Alliances,35,2020-08-03,2020-08-03,2026-05-27
Digital Insurer,Cove (New Zealand),Low,F1,Partnerships and Alliances,36,2020-08-03,2020-08-03,2026-05-27
Digital Insurer,digit (India),Low,F1,Partnerships and Alliances,37,2020-08-03,2020-08-03,2026-05-27
Digital Insurer,FloodFlash,Low,F1,Partnerships and Alliances,38,2020-08-03,2020-08-03,2026-05-27
Digital Insurer,Hippo,Low,F1,Partnerships and Alliances,39,2020-08-03,2020-08-03,2026-05-27
Digital Insurer,Slice,Medium,F1,Partnerships and Alliances,40,2020-08-03,2020-08-03,2026-05-27
eSignatures and Document Collection,Lightico,Medium,F1,Partnerships and Alliances,41,2020-08-03,2020-08-03,2026-05-27
Estimating Software,Flyreel,Medium,F1,Partnerships and Alliances,42,2020-08-03,2020-08-03,2026-05-27
Estimating Software,Hover,Medium,F1,Partnerships and Alliances,43,2020-08-03,2020-08-03,2026-05-27
Estimating Software,Matterport,Medium,F1,Partnerships and Alliances,44,2020-08-03,2020-08-03,2026-05-27
Estimating Software,Plnar,Medium,F1,Partnerships and Alliances,45,2020-08-03,2020-08-03,2026-05-27
Estimating Software,Snapsheet,Medium,F1,Partnerships and Alliances,46,2020-08-03,2020-08-03,2026-05-27
Estimating Software,Tractable,Medium,F1,Partnerships and Alliances,47,2020-08-03,2020-08-03,2026-05-27
FNOL,Gerber NCS,Medium,F1,Partnerships and Alliances,48,2020-08-03,2020-08-03,2026-05-27
FNOL,NetClaim,High,F1,Partnerships and Alliances,49,2020-08-03,2020-08-03,2026-05-27
FNOL,Safelite,High,F1,Partnerships and Alliances,50,2020-08-03,2020-08-03,2026-05-27
Medical Mgmt Supplier,"EK Health

(Woman owned business.  Need to find out if service all 50 dates.  Specialize in CA.)",Medium,F1,Partnerships and Alliances,51,2020-08-03,2020-08-03,2026-05-27
Medical Mgmt Supplier,Mitchell/Genex,Medium,F1,Partnerships and Alliances,52,2020-08-03,2020-08-03,2026-05-27
Medical Mgmt Supplier,Strataware,High,F1,Partnerships and Alliances,53,2020-08-03,2020-08-03,2026-05-27
Payment Platform,ACI Worldwide,Medium,F1,Partnerships and Alliances,54,2020-08-03,2020-08-03,2026-05-27
Payment Platform,Commerce Bank,High,F1,Partnerships and Alliances,55,2020-08-03,2020-08-03,2026-05-27
Payment Platform,Fiserv,Medium,F1,Partnerships and Alliances,56,2020-08-03,2020-08-03,2026-05-27
Payment Platform,Ingo Money,Medium,F1,Partnerships and Alliances,57,2020-08-03,2020-08-03,2026-05-27
Payment Platform,Invenger,Medium,F1,Partnerships and Alliances,58,2020-08-03,2020-08-03,2026-05-27
Payment Platform,One Inc,High,F1,Partnerships and Alliances,59,2020-08-03,2020-08-03,2026-05-27
Payment Platform,Vpay,Medium,F1,Partnerships and Alliances,60,2020-08-03,2020-08-03,2026-05-27
Policy Admin System,BriteCore,Low,F1,Partnerships and Alliances,61,2020-08-03,2020-08-03,2026-05-27
Policy Admin System,Setoo,Low,F1,Partnerships and Alliances,62,2020-08-03,2020-08-03,2026-05-27
Policy Admin System,Sure,High,F1,Partnerships and Alliances,63,2020-08-03,2020-08-03,2026-05-27
Risk Assessment,RiskAPP,Medium,F1,Partnerships and Alliances,64,2020-08-03,2020-08-03,2026-05-27
Risk Assessment,Riskgenius,Low,F1,Partnerships and Alliances,65,2020-08-03,2020-08-03,2026-05-27
Risk Assessment,TensorFlight,Medium,F1,Partnerships and Alliances,66,2020-08-03,2020-08-03,2026-05-27
Telematics,Jooycar,Low,F1,Partnerships and Alliances,67,2020-08-03,2020-08-03,2026-05-27
Telematics,TrakGlobalGroup,Low,F1,Partnerships and Alliances,68,2020-08-03,2020-08-03,2026-05-27
Telemedicine Platform,American Well,Medium,F1,Partnerships and Alliances,69,2020-08-03,2020-08-03,2026-05-27
