client_canonical,trigger_id,trigger_name,evidence_text,evidence_sources,strength,raw_data,captured_date,ingestion_date
AON,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
AON,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Genpact has ~490 FTEs at this Named account — large displacement target,F5/Competitor Analysis/R46; F5/Competitor Analysis/R47; F5/Competitor Analysis/R48; F5/Competitor Analysis/R49; F5/Competitor Analysis/R50,0.7,competitor=Genpact;ftes=490.0;relationship=Named,2026-05-27,2026-05-27
AON,function_headroom,Competitor parked in function with high EXL retention headroom,"Genpact parked at 'Policy Servicing' (490 FTEs documented). EXL typical retention for this function is only 35% (high headroom, implying ~1400 FTE TAM at this function).",F5/Competitor Analysis/R46; F5/Competitor Analysis/R47; F5/Competitor Analysis/R48; F5/Competitor Analysis/R49; F5/Competitor Analysis/R50,0.73,competitor=Genpact;function=Policy Servicing;kw=policy admin;ftes=490.0;headroom_pct=65.0,2026-05-27,2026-05-27
AXIS US Operations,cost_pressure,Combined ratio > 100 (cost-pressure),Combined ratio 107.3 (>100) indicates underwriting/operating pressure — cost optimization receptivity high,client_profile (derived from F1/Top Insurers and Brokers + sheet3),0.5,combined_ratio=107.3,2026-05-27,2026-05-27
Allstate,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Accenture has ~300 FTEs at this Strategic account — large displacement target,F4/P&C Clientwise/R5,0.7,competitor=Accenture;ftes=300.0;relationship=Strategic,2026-05-27,2026-05-27
Allstate,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Captive has ~5000 FTEs at this Strategic account — large displacement target,F4/P&C Clientwise/R3,0.7,competitor=Captive;ftes=5000.0;relationship=Strategic,2026-05-27,2026-05-27
Allstate,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Foundever has ~300 FTEs at this Strategic account — large displacement target,F4/P&C Clientwise/R6,0.7,competitor=Foundever;ftes=300.0;relationship=Strategic,2026-05-27,2026-05-27
Allstate,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,WNS has ~300 FTEs at this Strategic account — large displacement target,F4/P&C Clientwise/R4,0.7,competitor=WNS;ftes=300.0;relationship=Strategic,2026-05-27,2026-05-27
Allstate,competitor_concentration,Large competitor footprint at one client (≥500 FTEs),"Aggregate competitor footprint at this account ~5900 FTEs (8 competitors, 9 engagements)",client_engagements_summary (derived from F4 + F5),0.6,total_ftes=5900.0;num_competitors=8,2026-05-27,2026-05-27
Amer Family Ins Group,cost_pressure,Combined ratio > 100 (cost-pressure),Combined ratio 105.7 (>100) indicates underwriting/operating pressure — cost optimization receptivity high,client_profile (derived from F1/Top Insurers and Brokers + sheet3),0.5,combined_ratio=105.7,2026-05-27,2026-05-27
American Family,cost_pressure,Combined ratio > 100 (cost-pressure),Combined ratio 105.7 (>100) indicates underwriting/operating pressure — cost optimization receptivity high,client_profile (derived from F1/Top Insurers and Brokers + sheet3),0.5,combined_ratio=105.7,2026-05-27,2026-05-27
American Family,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
American Modern,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Aviva,strategic_low_wallet,Strategic/Named with low EXL wallet share,Strategic account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Strategic;share=;exl_client=,2026-05-27,2026-05-27
Axis,cost_pressure,Combined ratio > 100 (cost-pressure),Combined ratio 107.3 (>100) indicates underwriting/operating pressure — cost optimization receptivity high,client_profile (derived from F1/Top Insurers and Brokers + sheet3),0.5,combined_ratio=107.3,2026-05-27,2026-05-27
Axis,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Esure Insurance Holdings,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Farmers,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Genworth,function_headroom,Competitor parked in function with high EXL retention headroom,"Genpact parked at 'Policy Servicing' (300 FTEs documented). EXL typical retention for this function is only 35% (high headroom, implying ~857 FTE TAM at this function).",F5/Competitor Analysis/R44; F5/Competitor Analysis/R45,0.73,competitor=Genpact;function=Policy Servicing;kw=policy admin;ftes=300.0;headroom_pct=65.0,2026-05-27,2026-05-27
Great Amer P&C Ins Group,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Great American,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Hanover Insurance Group,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Ivans has ~800 FTEs at this Strategic account — large displacement target,F4/P&C Clientwise/R30,0.7,competitor=Ivans;ftes=800.0;relationship=Strategic,2026-05-27,2026-05-27
Hanover Insurance Group,competitor_concentration,Large competitor footprint at one client (≥500 FTEs),"Aggregate competitor footprint at this account ~924 FTEs (12 competitors, 13 engagements)",client_engagements_summary (derived from F4 + F5),0.6,total_ftes=924.0;num_competitors=12,2026-05-27,2026-05-27
Hartford,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Cognizant has ~690 FTEs at this Strategic account — large displacement target,F5/Competitor Analysis/R18; F5/Competitor Analysis/R19; F5/Competitor Analysis/R20; F5/Competitor Analysis/R21; F5/Competitor Analysis/R32; F4/P&C Clientwise/R32,0.7,competitor=Cognizant;ftes=690.0;relationship=Strategic,2026-05-27,2026-05-27
Hartford,competitor_concentration,Large competitor footprint at one client (≥500 FTEs),"Aggregate competitor footprint at this account ~840 FTEs (2 competitors, 7 engagements)",client_engagements_summary (derived from F4 + F5),0.6,total_ftes=840.0;num_competitors=2,2026-05-27,2026-05-27
IAG,strategic_low_wallet,Strategic/Named with low EXL wallet share,Strategic account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Strategic;share=;exl_client=,2026-05-27,2026-05-27
Liberty Mutual,cost_pressure,Combined ratio > 100 (cost-pressure),Combined ratio 101.7 (>100) indicates underwriting/operating pressure — cost optimization receptivity high,client_profile (derived from F1/Top Insurers and Brokers + sheet3),0.5,combined_ratio=101.7,2026-05-27,2026-05-27
Liberty Mutual,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Cognizant has ~365 FTEs at this Named account — large displacement target,F5/Competitor Analysis/R6; F5/Competitor Analysis/R7; F4/P&C Clientwise/R36,0.7,competitor=Cognizant;ftes=365.0;relationship=Named,2026-05-27,2026-05-27
Liberty Mutual,function_headroom,Competitor parked in function with high EXL retention headroom,"Cognizant parked at 'Policy Servicing' (365 FTEs documented). EXL typical retention for this function is only 35% (high headroom, implying ~1042 FTE TAM at this function).",F5/Competitor Analysis/R6; F5/Competitor Analysis/R7; F4/P&C Clientwise/R36,0.73,competitor=Cognizant;function=Policy Servicing;kw=policy servicing;ftes=365.0;headroom_pct=65.0,2026-05-27,2026-05-27
MAPFRE,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Marsh,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Munich Re,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Munich-Amer Hldg Corp Cos,cost_pressure,Combined ratio > 100 (cost-pressure),Combined ratio 101.0 (>100) indicates underwriting/operating pressure — cost optimization receptivity high,client_profile (derived from F1/Top Insurers and Brokers + sheet3),0.5,combined_ratio=101.0,2026-05-27,2026-05-27
Munich-Amer Hldg Corp Cos,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Nationwide,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Nationwide,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Cognizant has ~200 FTEs at this Named account — large displacement target,F5/Competitor Analysis/R15; F5/Competitor Analysis/R28; F4/P&C Clientwise/R17,0.7,competitor=Cognizant;ftes=200.0;relationship=Named,2026-05-27,2026-05-27
Nationwide,function_headroom,Competitor parked in function with high EXL retention headroom,"Cognizant parked at 'Policy Servicing' (200 FTEs documented). EXL typical retention for this function is only 35% (high headroom, implying ~571 FTE TAM at this function).",F5/Competitor Analysis/R15; F5/Competitor Analysis/R28; F4/P&C Clientwise/R17,0.73,competitor=Cognizant;function=Policy Servicing;kw=policy servicing;ftes=200.0;headroom_pct=65.0,2026-05-27,2026-05-27
QBE,strategic_low_wallet,Strategic/Named with low EXL wallet share,Strategic account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Strategic;share=;exl_client=,2026-05-27,2026-05-27
State Farm,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Suncorp,strategic_low_wallet,Strategic/Named with low EXL wallet share,Strategic account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Strategic;share=;exl_client=,2026-05-27,2026-05-27
Swiss Re,cost_pressure,Combined ratio > 100 (cost-pressure),Combined ratio 107.0 (>100) indicates underwriting/operating pressure — cost optimization receptivity high,client_profile (derived from F1/Top Insurers and Brokers + sheet3),0.5,combined_ratio=107.0,2026-05-27,2026-05-27
Swiss Re,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Genpact has ~350 FTEs at this Named account — large displacement target,F5/Competitor Analysis/R42; F5/Competitor Analysis/R43,0.7,competitor=Genpact;ftes=350.0;relationship=Named,2026-05-27,2026-05-27
Swiss Re,function_headroom,Competitor parked in function with high EXL retention headroom,"Genpact parked at 'Policy Servicing' (350 FTEs documented). EXL typical retention for this function is only 35% (high headroom, implying ~1000 FTE TAM at this function).",F5/Competitor Analysis/R42; F5/Competitor Analysis/R43,0.73,competitor=Genpact;function=Policy Servicing;kw=policy maintenance;ftes=350.0;headroom_pct=65.0,2026-05-27,2026-05-27
Travelers Group,renewal_le_6mo,Incumbent renewal within 6 months,"Cognizant contract renews in < 6 months (~1000 FTEs across 5 scope(s), functions: CLAIMS, UW, F&A)",F5/Competitor Analysis/R8; F5/Competitor Analysis/R9; F5/Competitor Analysis/R10; F5/Competitor Analysis/R11; F5/Competitor Analysis/R12,1.0,competitor=Cognizant;ftes=1000.0;engagements=5,2026-05-27,2026-05-27
Travelers Group,mass_renewal,Multiple incumbent scopes renewing together,Single-vendor displacement window: Cognizant holds 5 concurrent scopes (~1000 FTEs) all renewing in < 6 Months,F5/Competitor Analysis/R8; F5/Competitor Analysis/R9; F5/Competitor Analysis/R10; F5/Competitor Analysis/R11; F5/Competitor Analysis/R12,1.0,competitor=Cognizant;num_scopes=5;ftes=1000.0,2026-05-27,2026-05-27
Travelers Group,active_friction,Active competitor friction (free-text signal),"Cognizant: friction signals in account notes — champion challenger. Comments: Personal Insurance, Commercial Insurnace - From new business to claims settlement; Bill Review and Utilization Review; Policy Admin- Endorsement, Poli...",F5/Competitor Analysis/R8; F5/Competitor Analysis/R9; F5/Competitor Analysis/R10; F5/Competitor Analysis/R11; F5/Competitor Analysis/R12,0.9,competitor=Cognizant;signals=champion challenger,2026-05-27,2026-05-27
Travelers Group,active_friction,Active competitor friction (free-text signal),"Genpact: friction signals in account notes — champion challenger,terminating. Comments: Policy Maintenance; Claims; Invoicing",F5/Competitor Analysis/R39; F5/Competitor Analysis/R40; F5/Competitor Analysis/R41,0.9,"competitor=Genpact;signals=champion challenger,terminating",2026-05-27,2026-05-27
Travelers Group,active_friction,Active competitor friction (free-text signal),"WNS: friction signals in account notes — champion challenger,given notice,exploring champion. Comments: ",F5/Competitor Analysis/R65,0.9,"competitor=WNS;signals=champion challenger,given notice,exploring champion",2026-05-27,2026-05-27
Travelers Group,unaddressed_voc,Mapped VOC priority not yet initiated,VOC priority 'Optimizing Operating Leverage' has 1 mapped component(s) for EXL E_E2E solution — status 'Not Initiated',F1/Buyer Priorities/R14,0.6,priority_area=Optimizing Operating Leverage;solution=E_E2E;components=1,2026-05-27,2026-05-27
Travelers Group,unaddressed_voc,Mapped VOC priority not yet initiated,VOC priority 'Optimizing Operating Leverage' has 4 mapped component(s) for EXL FNOL solution — status 'Not Initiated',F1/Buyer Priorities/R9; F1/Buyer Priorities/R15; F1/Buyer Priorities/R16; F1/Buyer Priorities/R18,0.6,priority_area=Optimizing Operating Leverage;solution=FNOL;components=4,2026-05-27,2026-05-27
Travelers Group,unaddressed_voc,Mapped VOC priority not yet initiated,VOC priority 'Optimizing Operating Leverage' has 2 mapped component(s) for EXL Int_Col solution — status 'Not Initiated',F1/Buyer Priorities/R19; F1/Buyer Priorities/R20,0.6,priority_area=Optimizing Operating Leverage;solution=Int_Col;components=2,2026-05-27,2026-05-27
Travelers Group,unaddressed_voc,Mapped VOC priority not yet initiated,VOC priority 'Strong Top Line Performance' has 1 mapped component(s) for EXL FNOL solution — status 'Not Initiated',F1/Buyer Priorities/R17,0.6,priority_area=Strong Top Line Performance;solution=FNOL;components=1,2026-05-27,2026-05-27
Travelers Group,unaddressed_voc,Mapped VOC priority not yet initiated,VOC priority 'Strong Top Line Performance' has 3 mapped component(s) for EXL NB_PaaS solution — status 'Not Initiated',F1/Buyer Priorities/R11; F1/Buyer Priorities/R12; F1/Buyer Priorities/R13,0.6,priority_area=Strong Top Line Performance;solution=NB_PaaS;components=3,2026-05-27,2026-05-27
Travelers Group,strategic_low_wallet,Strategic/Named with low EXL wallet share,Named account but EXL share-of-wallet = '(blank)' / EXL Client = '(blank)',client_profile (F1/Top Insurers and Brokers),0.6,relationship=Named;share=;exl_client=,2026-05-27,2026-05-27
Travelers Group,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Cognizant has ~1000 FTEs at this Named account — large displacement target,F5/Competitor Analysis/R8; F5/Competitor Analysis/R9; F5/Competitor Analysis/R10; F5/Competitor Analysis/R11; F5/Competitor Analysis/R12,0.7,competitor=Cognizant;ftes=1000.0;relationship=Named,2026-05-27,2026-05-27
Travelers Group,high_competitor_ftes,Single competitor with ≥200 FTEs at named account,Genpact has ~210 FTEs at this Named account — large displacement target,F5/Competitor Analysis/R39; F5/Competitor Analysis/R40; F5/Competitor Analysis/R41,0.7,competitor=Genpact;ftes=210.0;relationship=Named,2026-05-27,2026-05-27
Travelers Group,multi_competitor_friction,Multiple competitors at one client all in friction,"3 concurrent incumbents in friction: Cognizant(champion challenger); Genpact(champion challenger,terminating); WNS(champion challenger,given notice,exploring champion)",F5/Competitor Analysis/R8; F5/Competitor Analysis/R9; F5/Competitor Analysis/R10; F5/Competitor Analysis/R11; F5/Competitor Analysis/R12; F5/Competitor Analysis/R39; F5/Competitor Analysis/R40; F5/Competitor Analysis/R41; F5/Competitor Analysis/R65,1.0,competitors_in_friction=3,2026-05-27,2026-05-27
Travelers Group,competitor_concentration,Large competitor footprint at one client (≥500 FTEs),"Aggregate competitor footprint at this account ~1210 FTEs (3 competitors, 9 engagements)",client_engagements_summary (derived from F4 + F5),0.6,total_ftes=1210.0;num_competitors=3,2026-05-27,2026-05-27
Travelers Group,function_headroom,Competitor parked in function with high EXL retention headroom,"Cognizant parked at 'Policy Servicing' (1000 FTEs documented). EXL typical retention for this function is only 35% (high headroom, implying ~2857 FTE TAM at this function).",F5/Competitor Analysis/R8; F5/Competitor Analysis/R9; F5/Competitor Analysis/R10; F5/Competitor Analysis/R11; F5/Competitor Analysis/R12,0.73,competitor=Cognizant;function=Policy Servicing;kw=policy servicing;ftes=1000.0;headroom_pct=65.0,2026-05-27,2026-05-27
Travelers Group,function_headroom,Competitor parked in function with high EXL retention headroom,"Genpact parked at 'Policy Servicing' (210 FTEs documented). EXL typical retention for this function is only 35% (high headroom, implying ~600 FTE TAM at this function).",F5/Competitor Analysis/R39; F5/Competitor Analysis/R40; F5/Competitor Analysis/R41,0.73,competitor=Genpact;function=Policy Servicing;kw=policy maintenance;ftes=210.0;headroom_pct=65.0,2026-05-27,2026-05-27
